,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,1352,0.0,0.0,101.7614212,0.0,7500,7501,-1,0,0,0,0
1,2900,0.0,0.0,104.9799728,0.0,7500,7501,-1,0,0,0,0
2,4437,0.0,0.0,106.5168228,0.0,7500,7501,-1,0,0,0,0
3,5947,0.0,0.0,110.5746307,0.0,7500,7501,-1,0,0,0,0
4,7476,0.0,0.0,112.3718948,0.0,7500,7501,-1,0,0,0,0
5,8996,0.0,0.0,116.2706451,0.0,7500,7501,-1,0,0,0,0
6,10527,0.0,0.0,117.5832901,0.0,7500,7501,-1,0,0,0,0
7,12053,0.0,0.0,120.6769028,0.0,7500,7501,-1,0,0,0,0
8,13594,0.0,0.0,123.0351868,0.0,7500,7501,-1,0,0,0,0
9,15106,0.0,0.0,125.3241043,0.0,7500,7501,-1,0,0,0,0
10,16628,0.0,0.0,127.0755997,0.0,7500,7501,-1,0,0,0,0
11,18142,0.0,0.0,126.5355377,0.0,7502,7501,1,0,0,0,0
12,19653,0.0,0.0,125.3950043,0.0,7502,7501,1,0,0,0,0
13,21184,0.0,0.0,121.2965546,0.0,7502,7501,1,0,0,0,0
14,22739,0.0,0.0,120.181282,0.0,7502,7501,1,0,0,0,0
15,24272,0.0,0.0,116.686554,0.0,7502,7501,1,0,0,0,0
16,25822,0.0,0.0,115.6071625,0.0,7502,7501,1,0,0,0,0
17,27368,0.0,0.0,112.0131912,0.0,7502,7501,1,0,0,0,0
18,28899,0.0,0.0,111.7665863,0.0,7502,7501,1,0,0,0,0
19,30406,0.0,0.0,108.5406723,0.0,7502,7501,1,0,0,0,0
20,31939,0.0,0.0,106.1914902,0.0,7502,7501,1,0,0,0,0
21,33473,0.0,0.0,103.6546326,0.0,7502,7501,1,0,0,0,0
22,35011,0.0,0.0,101.9361191,0.0,7502,7501,1,0,0,0,0
23,36544,0.0,0.0,98.9793396,0.0,7502,7501,1,0,0,0,0
24,38067,0.0,0.0,96.33040619,0.0,7502,7501,1,0,0,0,0
25,39615,0.0,0.0,94.00512695,0.0,7502,7501,1,0,0,0,0
26,41298,0.0,0.0,92.45776367,0.0,7502,7501,1,0,0,0,0
27,42800,0.0,0.0,90.49423218,0.0,7502,7501,1,0,0,0,0
28,44660,0.0,0.0,86.79431152,0.0,7502,7501,1,0,0,0,0
29,46957,0.0,0.0,85.28798676,0.0,7502,7501,1,0,0,0,0
30,48539,0.0,0.0,82.80065918,0.0,7502,7501,1,0,0,0,0
31,50077,0.0,0.0,80.915802,0.0,7502,7501,1,0,0,0,0
32,51616,0.0,0.0,76.24959564,0.0,7502,7501,1,0,0,0,0
33,53137,0.0,0.0,74.44561768,0.0,7502,7501,1,0,0,0,0
34,54674,0.0,0.0,72.53845215,0.0,7502,7501,1,0,0,0,0
35,56228,0.0,0.0,70.82348633,0.0,7502,7501,1,0,0,0,0
36,57734,0.0,0.0,67.11763763,0.0,7502,7501,1,0,0,0,0
37,59249,0.0,0.0,65.38185883,0.0,7502,7501,1,0,0,0,0
38,60896,0.0,0.0,60.98757935,0.0,7502,7501,1,0,0,0,0
39,62454,0.0,0.0,60.6832695,0.0,7502,7501,1,0,0,0,0
40,63968,0.0,0.0,57.85681915,0.0,7502,7501,1,0,0,0,0
41,65515,0.0,0.0,56.15871811,0.0,7502,7501,1,0,0,0,0
42,67036,0.0,0.0,52.92034912,0.0,7502,7501,1,0,0,0,0
43,68565,0.0,0.0,51.29187012,0.0,7502,7501,1,0,0,0,0
44,70077,0.0,0.0,48.19117737,0.0,7502,7501,1,0,0,0,0
45,71585,0.0,0.0,46.48143005,0.0,7502,7501,1,0,0,0,0
46,73128,0.0,0.0,43.91571045,0.0,7502,7501,1,0,0,0,0
47,74655,0.0,0.0,41.37295151,0.0,7502,7501,1,0,0,0,0
