,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,974,0.0,0.0,-38.24571609,0.0,7501,7500,-1,0,0,0,normal
1,2575,0.0,0.0,-40.55679321,0.0,7501,7500,-1,0,0,0,normal
2,4188,0.0,0.0,-43.01963806,0.0,7501,7500,-1,0,0,0,normal
3,5761,0.0,0.0,-45.23631287,0.0,7501,7500,-1,0,0,0,normal
4,7347,0.0,0.0,-47.37046814,0.0,7501,7500,-1,0,0,0,normal
5,8968,0.0,0.0,-49.086689,0.0,7501,7500,-1,0,0,0,normal
6,10529,0.0,0.0,-52.65139771,0.0,7501,7500,-1,0,0,0,normal
7,12179,0.0,0.0,-53.73197556,0.0,7502,7500,1,0,0,0,normal
8,13782,0.0,0.0,-58.77332306,0.0,7502,7500,1,0,0,0,normal
9,15371,0.0,0.0,-62.52908325,0.0,7502,7500,1,0,0,0,normal
10,16987,0.0,0.0,-67.72840881,0.0,7502,7500,1,0,0,0,normal
11,18576,0.0,0.0,-72.33702087,0.0,7502,7500,1,0,0,0,normal
12,20270,0.0,0.0,-77.510849,0.0,7502,7500,1,0,0,0,normal
13,21869,0.0,0.0,-80.30509949,0.0,7502,7500,1,0,0,0,normal
14,23420,0.0,0.0,-86.15562439,0.0,7502,7500,1,0,0,0,normal
15,25170,0.0,0.0,-90.3493042,0.0,7502,7500,1,0,0,0,normal
16,26806,0.0,0.0,-96.00091553,0.0,7502,7500,1,0,0,0,normal
17,28412,0.0,0.0,-100.8862228,0.0,7502,7500,1,0,0,0,normal
18,30011,0.0,0.0,-104.5522003,0.0,7502,7500,1,0,0,0,normal
19,31884,0.0,0.0,-109.9365005,0.0,7502,7500,1,0,0,0,normal
20,33705,0.0,0.0,-114.4705963,0.0,7502,7500,1,0,0,0,normal
21,35502,0.0,0.0,-119.7466049,0.0,7502,7500,1,0,0,0,normal
22,37402,0.0,0.0,-123.7398376,0.0,7502,7500,1,0,0,0,normal
23,39016,0.0,0.0,-129.3184967,0.0,7502,7500,1,0,0,0,normal
24,40610,0.0,0.0,-133.423172,0.0,7502,7500,1,0,0,0,normal
25,42225,0.0,0.0,-139.1638641,0.0,7502,7500,1,0,0,0,normal
26,43819,0.0,0.0,-142.0827789,0.0,7502,7500,1,0,0,0,normal
27,45397,0.0,0.0,-147.2753754,0.0,7502,7500,1,0,0,0,normal
28,47043,0.0,0.0,-158.4117584,0.0,7502,7500,1,0,0,0,normal
29,48652,0.0,0.0,-163.0874329,0.0,7502,7500,1,0,0,0,normal
30,50299,0.0,0.0,-164.5098114,0.0,7502,7500,1,0,0,0,normal
31,51947,0.0,0.0,-167.7682648,0.0,7502,7500,1,0,0,0,normal
32,53559,0.0,0.0,-172.6906433,0.0,7502,7500,1,0,0,0,normal
33,55145,0.0,0.0,-177.3602295,0.0,7502,7500,1,0,0,0,normal
34,56703,0.0,0.0,177.4128418,0.0,7502,7500,1,0,0,0,normal
35,58307,0.0,0.0,172.0006866,0.0,7502,7500,1,0,0,0,normal
36,59932,0.0,0.0,168.3270111,0.0,7502,7500,1,0,0,0,normal
37,61529,0.0,0.0,163.1743774,0.0,7502,7500,1,0,0,0,normal
38,63096,0.0,0.0,159.1633911,0.0,7502,7500,1,0,0,0,normal
39,64670,0.0,0.0,155.1069794,0.0,7502,7500,1,0,0,0,normal
40,66287,0.0,0.0,149.6043091,0.0,7502,7500,1,0,0,0,normal
41,68052,0.0,0.0,145.4622498,0.0,7502,7500,1,0,0,0,normal
42,69698,0.0,0.0,140.0704803,0.0,7502,7500,1,0,0,0,normal
43,71267,0.0,0.0,135.5047302,0.0,7502,7500,1,0,0,0,normal
44,73008,0.0,0.0,129.6842957,0.0,7502,7500,1,0,0,0,normal
45,74629,0.0,0.0,127.3053131,0.0,7502,7500,1,0,0,0,normal
46,76371,0.0,0.0,120.6598434,0.0,7502,7500,1,0,0,0,normal
47,77988,0.0,0.0,116.8071442,0.0,7502,7500,1,0,0,0,normal
48,79604,0.0,0.0,110.8689194,0.0,7502,7500,1,0,0,0,normal
49,81538,0.0,0.0,107.4904709,0.0,7502,7500,1,0,0,0,normal
50,83342,0.0,0.0,101.9045181,0.0,7502,7500,1,0,0,0,normal
51,85267,0.0,0.0,98.2740097,0.0,7502,7500,1,0,0,0,normal
52,87022,0.0,0.0,93.00604248,0.0,7502,7500,1,0,0,0,normal
53,88601,0.0,0.0,88.49162292,0.0,7502,7500,1,0,0,0,normal
54,90204,0.0,0.0,84.43222809,0.0,7502,7500,1,0,0,0,normal
55,91827,0.0,0.0,78.38523865,0.0,7502,7500,1,0,0,0,normal
56,93448,0.0,0.0,73.78031921,0.0,7502,7500,1,0,0,0,normal
57,95078,0.0,0.0,69.36906433,0.0,7502,7500,1,0,0,0,normal
58,96694,0.0,0.0,64.81401062,0.0,7502,7500,1,0,0,0,normal
59,98337,0.0,0.0,60.56495285,0.0,7502,7500,1,0,0,0,normal
60,99943,0.0,0.0,55.52772141,0.0,7502,7500,1,0,0,0,normal
61,101529,0.0,0.0,51.69404984,0.0,7502,7500,1,0,0,0,normal
62,103125,0.0,0.0,45.96860504,0.0,7502,7500,1,0,0,0,normal
