,Unnamed: 0,frame.number,TotW,TotVar,Phv.neut.ang,A.phsA,vsd1_speed,vsd2_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,label
0,0,441,0.0,0.0,34.5893631,0.0,7501,7500,-1,0,0,0,0
1,1,2065,0.0,0.0,33.03930664,0.0,7501,7500,-1,0,0,0,0
2,2,4162,0.0,0.0,30.61854553,0.0,7501,7500,-1,0,0,0,0
3,3,6043,0.0,0.0,48.10797882,0.0,7501,7500,-1,0,0,0,0
4,4,7823,0.0,0.0,58.79311371,0.0,7501,7500,-1,0,0,0,0
5,5,9393,0.0,0.0,56.37260437,0.0,7501,7500,-1,0,0,0,0
6,6,10994,0.0,0.0,51.96833038,0.0,7501,7500,-1,0,0,0,0
7,7,12615,0.0,0.0,47.98771286,0.0,7501,7500,-1,0,0,0,0
8,8,14216,0.0,0.0,46.14004898,0.0,7501,7500,-1,0,0,0,0
9,9,15793,0.0,0.0,43.89975739,0.0,7501,7500,-1,0,0,0,0
10,10,17363,0.0,0.0,41.53194427,0.0,7501,7500,-1,0,0,0,0
11,11,18973,0.0,0.0,38.31209183,0.0,7501,7500,-1,0,0,0,0
12,12,20588,0.0,0.0,36.15584183,0.0,7501,7500,-1,0,0,0,0
13,13,22254,0.0,0.0,33.62498093,0.0,7501,7500,-1,0,0,0,0
14,14,23835,0.0,0.0,30.81595612,0.0,7501,7500,-1,0,0,0,0
15,15,25422,0.0,0.0,28.73044968,0.0,7501,7500,-1,0,0,0,0
16,16,27051,0.0,0.0,26.40934372,0.0,7501,7500,-1,0,0,0,0
17,17,28677,0.0,0.0,23.13097763,0.0,7501,7500,-1,0,0,0,0
18,18,30287,0.0,0.0,21.12911797,0.0,7501,7500,-1,0,0,0,0
19,19,31843,0.0,0.0,19.3621521,0.0,7501,7500,-1,0,0,0,0
20,20,33443,0.0,0.0,16.02206993,0.0,7501,7500,-1,0,0,0,0
21,21,35078,0.0,0.0,14.020401,0.0,7501,7500,-1,0,0,0,0
22,22,36712,0.0,0.0,13.56409359,0.0,7501,7500,-1,0,0,0,0
23,23,38270,0.0,0.0,11.3168478,0.0,7501,7500,-1,0,0,0,0
24,24,39859,0.0,0.0,7.803916454,0.0,7501,7500,-1,0,0,0,0
25,25,41460,0.0,0.0,5.666137695,0.0,7501,7500,-1,0,0,0,0
26,26,43119,0.0,0.0,2.603912354,0.0,7502,7500,1,0,0,0,0
27,27,44893,112.4695663,481.5933533,-0.136817917,0.849999905,7501,7500,0,1,1,0,0
28,28,46502,90.05049896,871.8926392,-0.076858513,1.399999857,7501,7500,0,1,0,0,0
29,29,48108,63.36976624,1099.680908,-0.100982666,1.699999809,7501,7500,0,1,0,0,0
30,30,49882,167.7747498,1136.88916,-0.103668205,1.699999809,7501,7500,0,1,0,0,0
31,31,51529,214.0133057,1166.998535,-0.106079094,1.774999857,7501,7500,0,1,0,0,0
32,32,53642,240.561264,1186.073486,-0.145820603,1.849999785,7501,7500,0,1,0,0,0
33,33,55743,291.43573,1168.423096,-0.097427361,1.799999833,7501,7500,0,1,0,0,0
34,34,57340,414.094696,1118.514404,-0.121978752,1.774999857,7501,7500,0,1,0,0,0
35,35,58922,420.1914063,1204.894775,-0.118644707,1.899999857,7501,7500,0,1,0,0,0
36,36,60528,508.0205383,1130.876953,-0.102432244,1.824999928,7501,7500,0,1,0,0,0
37,37,62136,530.0773926,1138.856934,-0.116134629,1.899999857,7501,7500,0,1,0,0,0
38,38,63722,490.9617615,1175.775391,-0.135101303,1.899999857,7501,7500,0,1,0,0,0
39,39,65285,540.3271484,1160.841309,-0.106567383,1.874999881,7501,7500,0,1,0,0,0
40,40,66899,508.5879211,1183.562256,-0.127838135,1.874999881,7501,7500,0,1,0,0,0
41,41,68522,576.3521729,1140.172974,-0.129539475,1.849999785,7501,7500,0,1,0,0,0
42,42,70257,738.0543213,1083.744995,-0.116462708,1.924999952,7501,7500,0,1,0,0,0
43,43,71851,730.8589478,1110.751709,-0.092559814,1.949999809,7501,7500,0,1,0,0,0
44,44,73440,680.9262085,1143.915405,-0.11683654,1.899999857,7501,7500,0,1,0,0,0
45,45,75062,778.0271606,1101.033203,-0.13923645,1.974999905,7501,7500,0,1,0,0,0
46,46,76704,730.8952637,1138.929443,-0.100067131,1.949999809,7501,7500,0,1,0,0,0
47,47,78297,904.3200073,1032.037354,-0.115234375,1.974999905,7501,7500,0,1,0,0,0
48,48,79919,807.6777344,1181.304688,-0.175048828,2.074999809,7501,7500,0,1,0,0,0
49,49,81535,827.4891357,1116.462036,-0.108337395,1.974999905,7501,7500,0,1,0,0,0
50,50,83149,990.4227295,1012.093201,-0.145141602,2.024999619,7501,7500,0,1,0,0,0
51,51,84774,967.6536255,1074.581665,-0.125473008,2.074999809,7501,7500,0,1,0,0,0
52,52,86415,1067.193237,1011.284424,-0.14906311,2.074999809,7501,7500,0,1,0,0,0
53,53,88014,1105.258545,1014.121582,-0.132339463,2.124999762,7501,7500,0,1,0,0,0
54,54,89617,1139.400269,1019.952576,-0.125900254,2.174999714,7501,7500,0,1,0,0,0
55,55,91236,1235.970093,963.8143921,-0.130401611,2.224999666,7501,7500,0,1,0,0,0
56,56,92942,1123.367676,1024.866211,-0.128234848,2.174999714,7501,7500,0,1,0,0,0
57,57,94668,1224.694092,1032.387573,-0.133773804,2.299999714,7501,7500,0,1,0,0,0
58,58,96294,1261.310669,988.9135742,-0.132843003,2.249999762,7501,7500,0,1,0,0,0
59,59,97890,1256.216064,979.1830444,-0.094451904,2.249999762,7501,7500,0,1,0,0,0
60,60,99685,1360.282959,988.4187012,-0.153625473,2.374999762,7501,7500,0,1,0,0,0
61,61,101327,1422.976685,917.0083618,-0.125671387,2.349999905,7501,7500,0,1,0,0,0
62,62,103421,1331.030762,998.149231,-0.129867539,2.349999905,7501,7500,0,1,0,0,0
63,63,105502,1428.735352,965.5287476,-0.198547348,2.399999619,7501,7500,0,1,0,0,0
64,64,107100,1516.661011,863.019165,-0.107879639,2.449999809,7501,7500,0,1,0,0,0
65,65,108706,1495.630371,982.0080566,-0.159561157,2.499999762,7501,7500,0,1,0,0,0
66,66,110327,1512.350952,914.5214844,-0.120895378,2.474999905,7501,7500,0,1,0,0,0
67,67,111959,1564.891479,860.942627,-0.130340576,2.499999762,7501,7500,0,1,0,0,0
68,68,113538,1512.1698,1000.901855,-0.143585205,2.524999857,7501,7500,0,1,0,0,0
69,69,115128,1622.708008,925.4594116,-0.12657164,2.599999666,7501,7500,0,1,0,0,0
70,70,116755,1733.088867,808.7402344,-0.128982529,2.674999714,7501,7500,0,1,0,0,0
71,71,118318,1741.394897,820.7525635,-0.130096421,2.674999714,7501,7500,0,1,0,0,0
72,72,119929,1635.649902,928.9846191,-0.177017212,2.599999666,7501,7500,0,1,0,0,0
73,73,121516,1806.865234,831.605957,-0.1459198,2.724999905,7501,7500,0,1,0,0,0
74,74,123090,1911.052979,733.1890259,-0.136138901,2.849999666,7501,7500,0,1,0,0,0
75,75,124707,1848.987183,805.0821533,-0.087768547,2.799999714,7501,7500,0,1,0,0,0
76,76,126318,1860.782104,861.3530884,-0.163314804,2.849999666,7501,7500,0,1,0,0,0
77,77,127903,1940.775879,824.2657471,-0.137435898,2.899999857,7501,7500,0,1,0,0,0
78,78,129478,1974.640015,794.9893799,-0.150146469,2.949999809,7501,7500,0,1,0,0,0
79,79,131066,2036.11438,806.0238037,-0.171051025,3.024999857,7501,7500,0,1,0,0,0
80,80,132665,2075.22998,747.7366943,-0.141647339,3.074999809,7501,7500,0,1,0,0,0
81,81,134329,2098.614746,713.6433105,-0.170333847,3.049999714,7501,7500,0,1,0,0,0
82,82,135941,2047.197266,767.4996948,-0.120025635,2.999999762,7501,7500,0,1,0,0,0
83,83,137522,2143.042725,712.6895752,-0.118377686,3.099999905,7501,7500,0,1,0,0,0
84,84,139128,2206.508789,659.6298828,-0.196151718,3.199999571,7501,7500,0,1,0,0,0
85,85,140757,2248.46167,633.1906128,-0.128097519,3.249999762,7501,7500,0,1,0,0,0
86,86,142572,2253.254639,660.8009033,-0.151306137,3.249999762,7501,7500,0,1,0,0,0
87,87,144158,2272.993408,680.4432983,-0.15133667,3.274999857,7501,7500,0,1,0,0,0
88,88,145726,2243.946533,717.0115967,-0.167648301,3.224999666,7501,7500,0,1,0,0,0
89,89,147378,2319.062988,692.1658936,-0.148864746,3.324999571,7501,7500,0,1,0,0,0
90,90,149104,2284.088379,705.8322754,-0.158317551,3.324999571,7501,7500,0,1,0,0,0
91,91,150965,2321.489746,724.1224365,-0.115661614,3.324999571,7501,7500,0,1,0,0,0
92,92,152871,2321.236328,746.9640503,-0.154449448,3.374999762,7501,7500,0,1,0,0,0
